iter	Passed	Remaining
279	395	1018
280	397	1016
281	398	1013
282	399	1011
283	399	1008
284	400	1005
285	401	1002
286	403	1001
287	404	999
288	405	996
289	405	993
290	406	990
291	407	987
292	408	984
293	409	983
294	410	980
295	411	977
296	411	974
297	412	971
298	413	968
299	413	965
300	414	963
301	415	960
302	416	958
303	418	957
304	419	954
305	419	952
306	420	949
307	421	947
308	422	945
309	423	942
310	424	940
311	425	937
312	425	934
313	426	931
314	427	929
315	428	927
316	429	925
317	430	922
318	430	920
319	431	917
320	432	914
321	433	912
322	434	910
323	435	908
324	435	905
325	436	902
326	437	900
327	438	897
328	438	895
329	439	892
330	440	890
331	441	888
332	442	885
333	442	883
334	443	880
335	444	878
336	445	876
337	446	874
338	447	872
339	448	869
340	448	867
341	449	864
342	450	862
343	450	859
344	451	857
345	452	855
346	453	853
347	454	851
348	455	849
349	456	847
350	457	845
351	458	843
352	459	841
353	460	839
354	460	837
355	461	835
356	462	833
357	463	830
358	464	829
359	465	827
360	466	825
361	466	823
362	467	821
363	468	819
364	469	816
365	470	814
366	471	813
367	472	812
368	474	810
369	474	808
370	475	806
371	476	804
372	477	802
373	478	800
374	479	798
375	479	796
376	480	794
377	481	792
378	482	790
379	483	788
380	484	786
381	484	784
382	486	783
383	487	781
384	487	779
385	488	777
386	489	775
387	490	774
388	491	771
389	492	769
390	492	767
391	493	765
392	494	763
393	495	762
394	496	760
395	497	758
396	497	756
397	498	754
398	499	752
399	500	750
400	501	749
401	502	747
402	503	745
403	504	743
404	504	741
405	505	739
406	506	737
407	507	736
408	508	734
409	509	732
410	509	730
411	510	728
412	511	727
413	512	725
414	513	723
415	514	721
416	515	720
417	515	718
418	516	716
419	517	714
420	518	712
421	519	710
422	519	709
423	521	707
424	521	705
425	522	703
426	523	702
427	523	700
428	524	698
429	525	696
430	526	695
431	527	693
432	528	691
433	528	689
434	529	687
435	530	686
436	531	684
437	531	682
438	532	680
439	533	679
440	534	677
441	535	675
442	535	673
443	536	671
444	537	669
445	537	668
446	538	666
447	539	665
448	540	663
449	541	661
450	542	660
451	542	658
452	543	656
453	544	655
454	545	653
455	546	651
456	547	650
457	548	648
458	548	647
459	549	645
460	550	643
461	551	642
462	552	641
463	553	639
464	554	637
465	555	636
466	555	634
467	556	632
468	557	631
469	558	630
470	559	628
471	560	626
472	561	625
473	561	623
474	562	622
475	563	620
476	564	618
477	565	617
478	565	615
479	566	613
480	567	612
481	568	610
482	569	609
